Term,Label,Definition,ParentTerm,ParentType,Value,Role,CIA,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution,,,,,,,,,,,,,,,,,
HumanOversightInsufficient,Human Oversight Insufficient,"Concept representing cases where human oversight is insufficient for the intended effect, such as not being capable of identifying a problem",risk:OrganisationalManagementRisk,dpv:RiskConcept,,"S,R,C",,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
HumanOversightIneffective,Human Oversight Ineffective,"Concept representing cases where human oversight is ineffective for the intended effect, such as for when human can observe a problem but cannot do anything about it",risk:OrganisationalManagementRisk,dpv:RiskConcept,,"S,R,C",,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
InstructionsInsufficient,Instructions Insufficient,Concept representing cases where instructions are not sufficient for the intended effect,risk:OrganisationalManagementRisk,dpv:RiskConcept,,"S,R,C",,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
InstructionsIncorrect,Instructions Incorrect,Concept representing cases where instructions are incorrect for achieving the intended effect,risk:OrganisationalManagementRisk,dpv:RiskConcept,,"S,R,C",,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
LackOfSystemTransparency,Lack Of System Transparency,Concept representing lack of transpareny to humans related to the operation of a system,risk:OrganisationalManagementRisk,dpv:RiskConcept,,"S,R,C",,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
StaffIncompetence,Staff Incompetence,Concept representing incompetence of staff,risk:OrganisationalManagementRisk,dpv:RiskConcept,,"S,R,C",,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
TechnologyOverreliance,Technology Overreliance,"Concept representing the case where an entity, including individuals, have an overreliance on the use of technology",risk:OrganisationalManagementRisk,dpv:RiskConcept,,"S,R,C",,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PolicyRisk,Policy Risk,Risks and consequences regarding policy and its associated processes,risk:LegalRiskConcept,dpv:RiskConcept,,"S,R,C",,,,,,,,accepted,,,,,,,,,,,,,,,,,,,
LegalComplianceRisk,Legal Compliance Risk,Risks and consequences regarding legal compliance and its violation,risk:LegalRiskConcept,dpv:RiskConcept,,"S,R,C",,,,,,,,accepted,,,,,,,,,,,,,,,,,,,
IllegalDataProcessing,Illegal Data Processing,Concept representing Illegal Processing of Data,risk:LegalComplianceRisk,dpv:RiskConcept,,"R,C",,,,"This concept was called ""IllegalProcessingData"" in DPV 2.0","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
PublicOrderBreach,Public Order Breach,Concept representing Public Order Breach,risk:LegalComplianceRisk,dpv:RiskConcept,,"R,C",,,,,"(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
ViolatingProhibition,Violating Prohibition,"Something that acts as a or violates a prohibition - e.g. in a law, code of conduct, policy, contract",risk:PolicyRisk,dpv:RiskConcept,,"R,C",,,,,,2024-10-21,,accepted,,,,,,,,,,,,,,,,,,,
ViolatingObligation,Violating Obligation,"Something that acts as a or violates an obligation - e.g. in a law, code of conduct, policy, contract",risk:PolicyRisk,dpv:RiskConcept,,"R,C",,,,,,2024-10-21,,accepted,,,,,,,,,,,,,,,,,,,
ViolatingContractualObligation,Violating Contractual Obligation,Concept representing Violation of Contractual Obligations,"risk:LegalComplianceRisk,risk:ViolatingObligation",dpv:RiskConcept,,"R,C",,,,"This concept was called ""ViolationContractualObligations"" in DPV 2.0","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)",2022-08-17,2024-08-16,modified,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
ViolatingLegalObligation,Violating Legal Obligation,Concept representing Violation of Legal Obligations,"risk:LegalComplianceRisk,risk:ViolatingObligation",dpv:RiskConcept,,"R,C",,,,"This concept was called ""ViolationRegulatoryObligations"" in DPV 2.0","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)",2022-08-17,2024-08-16,modified,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
ViolatingStatutoryObligations,Violating Statutory Obligations,Concept representing Violation of Statutory Obligations,"risk:LegalComplianceRisk,risk:ViolatingObligation",dpv:RiskConcept,,"R,C",,,,"This concept was called ""ViolationStatutoryObligations"" in DPV 2.0","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)",2022-08-17,2024-08-16,modified,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
CopyrightViolation,Copyright Violation,Concept representing Copyright Violation,"risk:LegalComplianceRisk,risk:ViolatingObligation",dpv:RiskConcept,,"R,C",,,,,"(ENISA Reference Incident Classification Taxonomy 2018,https://www.enisa.europa.eu/publications/reference-incident-classification-taxonomy/)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
ViolatingCodeOfConduct,Violating Code of Conduct,Concept representing Violation of Code of Conduct,risk:PolicyRisk,dpv:RiskConcept,,"R,C",,,,"This concept was called ""ViolationCodeConduct"" in DPV 2.0","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)",2022-08-17,2024-08-16,modified,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
ViolatingEthicsCode,Violating Ethics Code,Concept representing Violation of Ethics Code,risk:PolicyRisk,dpv:RiskConcept,,"R,C",,,,"This concept was called ""ViolationEthicalCode"" in DPV 2.0","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)",2022-08-17,2024-08-16,modified,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
ViolatingPolicy,Violating Policy,Concept representing violation of policy which can be either internal or external policy,risk:PolicyRisk,dpv:RiskConcept,,"R,C",,,,,,,,accepted,,,,,,,,,,,,,,,,,,,
LegallyRelevantConsequence,Legally Relevant Consequence,A consequence that is legally relevant i.e. actionable under law,risk:LegalRiskConcept,dpv:RiskConcept,,"R,C,I",,,,,,,,accepted,,,,,,,,,,,,,,,,,,,
Detriment,Detriment,Concept representing Detriment,risk:LegallyRelevantConsequence,dpv:RiskConcept,,"R,C,I",,,,,,2022-03-23,2024-08-16,accepted,"Harshvardhan J. Pandit, Julian Flake, Georg P. Krog, Fajar Ekaputra, Beatriz Esteves",https://www.w3.org/2022/03/23-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
Damage,Damage,Concept representing Damage,risk:LegallyRelevantConsequence,dpv:RiskConcept,,"R,C,I",,,,,,2022-03-30,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/03/30-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
MaterialDamage,Material Damage,Concept representing Material Damage,risk:LegallyRelevantConsequence,dpv:RiskConcept,,"R,C,I",,,,The criteria for what is considered material damage is based in jurisdictional laws and norms,,2022-03-30,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/03/30-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
NonMaterialDamage,Non-Material Damage,Concept representing Non-Material Damage,risk:LegallyRelevantConsequence,dpv:RiskConcept,,"R,C,I",,,,The criteria for what is considered material damage is based in jurisdictional laws and norms,,2022-03-30,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/03/30-dpvcg-minutes.html,,,,,,,,,,,,,,,,,

ReputationalRisk,Reputational Risk,Risks and issues that affect the reputation of the organisation,risk:OrganisationalRiskConcept,dpv:RiskConcept,,"R,C,I",,,,,,,,accepted,,,,,,,,,,,,,,,,,,,
LoseCredibility,Lose of Credibility,Concept representing Loss of Credibility,risk:ReputationalRisk,dpv:RiskConcept,,"R,C,I",,,,,"(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
LoseCustomerConfidence,Lose of Customer Confidence,Concept representing Loss of Customer Confidence,risk:ReputationalRisk,dpv:RiskConcept,,"R,C,I",,,,,"(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
LoseGoodwill,Lose of Goodwill,Concept representing Loss of Goodwill,risk:ReputationalRisk,dpv:RiskConcept,,"R,C,I",,,,,"(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
LoseNegotiatingCapacity,Lose of Negotiating Capacity,Concept representing Loss of Negotiating Capacity,risk:ReputationalRisk,dpv:RiskConcept,,"R,C,I",,,,,"(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
LoseOpportunity,Lose of Opportunity,Concept representing Loss of Opportunity,risk:ReputationalRisk,dpv:RiskConcept,,"R,C,I",,,,,"(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
LoseReputation,Lose of Reputation,Concept representing Loss of Reputation,risk:ReputationalRisk,dpv:RiskConcept,,"R,C,I",,,,,"(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
LoseTrust,Lose of Trust,Concept representing Loss of Trust,risk:ReputationalRisk,dpv:RiskConcept,,"R,C,I",,,,,"(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GroupRisk,Societal Risk,Risks and issues that affect or have the potential to affect groups in society,risk:SocietalRiskConcept,dpv:RiskConcept,,"R,C,I",,,,,,,,accepted,,,,,,,,,,,,,,,,,,,
SocialDisadvantage,Social Disadvantage,Concept representing Social Disadvantage,risk:GroupRisk,dpv:RiskConcept,,"R,C,I",,,,,,2022-08-19,2024-08-16,accepted,Georg P. Krog,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
SocietalHealthSafety,Societal Health & Safety ,Concept representing health and safety of society at large,risk:GroupRisk,dpv:RiskConcept,,"R,C,I",,,,,,,,accepted,,,,,,,,,,,,,,,,,,,
Terrorism,Terrorism,Concept representing Terrorism,risk:GroupRisk,dpv:RiskConcept,,"R,C,I",,,,,"(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RightsImpact,Rights Impact,Concept representing Impact to Rights,risk:SocietalRiskConcept,dpv:RiskConcept,,"R,C,I",,,,"This concept was called ""ImpactToRights"" in DPV 2.0. Though specified as a plural i.e. 'rights', this concept can be applied to a singular right","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
RightsViolated,Rights Violated,The infringement or breach of rights in a manner that constitutes a 'violation' of those rights,risk:RightsImpact,dpv:RiskConcept,,"R,C,I",,,,"This concept was called ""ViolationOfRights"" in DPV 2.0. Though specified as a plural i.e. 'rights', this concept can be applied to a singular right",,2022-08-18,2024-08-16,accepted,"Georg P. Krog, Harshvardhan J. Pandit",https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
RightsExercisePrevented,Rights Exercise Prevented,Actions or measures that prevent an individual or group from exercising their legal rights.,risk:RightsImpact,dpv:RiskConcept,,"R,C,I",,,,"This concept was called ""PreventExercisingOfRights"" in DPV 2.0. Violation of a right is a bar for actionable actions by an authority. Other impacts on right may be found to construe a violation of the right, but that is not necessarily always the case i.e. not all impacts are violations of a right. Though specified as a plural i.e. 'rights', this concept can be applied to a singular right",,2022-08-18,2024-08-16,accepted,"Georg P. Krog, Harshvardhan J. Pandit",https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
RightsLimited,Rights Limited,A limitation or restrictions on the scope or exercise of rights,risk:RightsImpact,dpv:RiskConcept,,"R,C,I",,,,"This concept was called ""LimitationOfRights"" in DPV 2.0. The    limitation refers to the applicability and scope of the right, and not in the ability to exercise that right. Limitation is therefore fulfilment of the right and its obligations - but for a scope other than what was intended or expected. Though specified as a plural i.e. 'rights', this concept can be applied to a singular right",,2022-08-18,2024-08-16,accepted,"Georg P. Krog, Harshvardhan J. Pandit",https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
RightsDenied,Rights Denied,The refusal or withholding or denial of the existence or applicability of rights,risk:RightsImpact,dpv:RiskConcept,,"R,C,I",,,,"The denial of the right refers to the argument that a right does not apply at all for a particular case. Though specified as a plural i.e. 'rights', this concept can be applied to a singular right",,,,accepted,,,,,,,,,,,,,,,,,,,
RightsUnfulfilled,Rights Unfulfilled,Failure to meet or complete the fulfilment of rights,risk:RightsImpact,dpv:RiskConcept,,"R,C,I",,,,"Here unfulfilment refers to non-completion of the right's obligations and processes. Though specified as a plural i.e. 'rights', this concept can be applied to a singular right",,,,accepted,,,,,,,,,,,,,,,,,,,
RightsObstructed,Rights Obstructed,Interference with or blocking of the exercise of rights,risk:RightsImpact,dpv:RiskConcept,,"R,C,I",,,,"In obstruction, the right is not denied, limited, or unfulfilled - but the requirements to enable exercise of the rights are increased to the point of discouraging or obstructing the exercise of that right. Though specified as a plural i.e. 'rights', this concept can be applied to a singular right",,,,accepted,,,,,,,,,,,,,,,,,,,
RightsEroded,Rights Eroded,The gradual weakening or reduction of the scope and protection of rights,risk:RightsImpact,dpv:RiskConcept,,"R,C,I",,,,"Erosion of rights typically only applies to passive rights which always apply, since for active rights the exercise of that    right is what enables it. An active right can be eroded over time it is limited consistently and increasingly such that the scope of the right is reduced over time. Though specified as a plural i.e. 'rights', this concept can be applied to a singular right",,,,accepted,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IndividualRisk,Individual Risk,Risks and issues that affect or have the potential to affect specific individuals,risk:SocietalRiskConcept,dpv:RiskConcept,,"R,C,I",,,,,,,,accepted,,,,,,,,,,,,,,,,,,,
Harm,Harm,Concept representing Harm to humans,"risk:HealthSafety,risk:IndividualRisk",dpv:RiskConcept,,"R,C,I",,,,This concept refers to the general abstract notion of harm,,2022-08-13,2024-08-16,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
PhysicalHarm,Physical Harm,Concept representing physical harm to an individual or individual(s),"risk:Harm,risk:PhysicalHealth",dpv:RiskConcept,,"R,C,I",,,,,,2022-08-17,2024-12-01,modified,"Harshvardhan J. Pandit, Delaram Golpayegani",,,,,,,,,,,,,,,,,,
Injury,Injury,Concept representing Injury,"risk:Harm,risk:PhysicalSafety",dpv:RiskConcept,,"R,C,I",,,,,"(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
ViolenceAgainstChildren,Violence against children,Concept representing Child Violence,risk:Harm,dpv:RiskConcept,,"R,C,I",,,,"This concept was called ""ChildViolence"" in DPV 2.0","(ENISA Reference Incident Classification Taxonomy 2018,https://www.enisa.europa.eu/publications/reference-incident-classification-taxonomy/)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
PhysicalAssault,Physical Assault,Concept representing Physical Assault,"risk:Harm,risk:PhysicalSafety",dpv:RiskConcept,,"R,C,I",,,,,"(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
PsychologicalHarm,Psychological Harm,Concept representing Psychological Harm,"risk:Harm,risk:MentalSafety,risk:Wellbeing",dpv:RiskConcept,,"R,C,I",,,,,"(ENISA Reference Incident Classification Taxonomy 2018,https://www.enisa.europa.eu/publications/reference-incident-classification-taxonomy/)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
SexualViolence,Sexual Violence,Concept representing Sexual Violence,"risk:Harm,risk:PhysicalSafety,risk:MentalSafety",dpv:RiskConcept,,"R,C,I",,,,,"(ENISA Reference Incident Classification Taxonomy 2018,https://www.enisa.europa.eu/publications/reference-incident-classification-taxonomy/)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
Privacy,Privacy,"Concept representing privacy of humans at an individual, group, or larger societal levels",risk:IndividualRisk,dpv:RiskConcept,,"R,C,I",,,,,,,,accepted,,,,,,,,,,,,,,,,,,,
Harassment,Harassment,Concept representing harassment of individual(s),"risk:Harm,risk:Wellbeing",dpv:RiskConcept,,"R,C,I",,,,,,,,accepted,,,,,,,,,,,,,,,,,,,
SexualHarassment,Sexual Harassment,Concept representing sexual harassment of individual(s),risk:Harassment,dpv:RiskConcept,,"R,C,I",,,,,,2022-08-17,2024-12-01,modified,,,,,,,,,,,,,,,,,,,
ExposureToHarmfulSpeech,Exposure to Harmful Speech,Concept representing Harmful Speech,"risk:IndividualRisk,risk:MentalHealth,risk:Wellbeing",dpv:RiskConcept,,"R,C,I",,,,"This concept was called ""HarmfulSpeech"" in DPV 2.0","(ENISA Reference Incident Classification Taxonomy 2018,https://www.enisa.europa.eu/publications/reference-incident-classification-taxonomy/)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
PersonalSafetyEndangerment,Personal Safety Endangerment,Concept representing Personal Safety Endangerment,risk:IndividualRisk,dpv:RiskConcept,,"R,C,I",,,,,"(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)",2022-08-17,2024-12-01,modified,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
BehaviourDistortion,Behaviour Distortion,Concept representing distortion of behaviour of individual(s),risk:IndividualRisk,dpv:RiskConcept,,"R,C,I",,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,

HealthSafety,Health & Safety,"Concept representing health & safety of individual(s), or group(s), or society at large",risk:IndividualRisk,dpv:RiskConcept,,"R,C,I",,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
Health,Health,"Concept representing health of individual(s), or group(s), or society at large",risk:HealthSafety,dpv:RiskConcept,,"R,C,I",,,,,,2024-12-01,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
Safety,Safety,"Concept representing safety of individual(s), or group(s), or society at large",risk:HealthSafety,dpv:RiskConcept,,"R,C,I",,,,,,2024-12-01,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
PhysicalHealth,Physical Health,"Concept representing physical health of individual(s), or group(s), or society at large",risk:Health,dpv:RiskConcept,,"R,C,I",,,,,,2024-12-01,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
MentalHealth,Mental Health,"Concept representing mental health of individual(s), or group(s), or society at large",risk:Health,dpv:RiskConcept,,"R,C,I",,,,,,2024-12-01,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
PhysicalSafety,Physical Safety,"Concept representing physical safety of individual(s), or group(s), or society at large",risk:Safety,dpv:RiskConcept,,"R,C,I",,,,,,2024-12-01,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
MentalSafety,Mental Safety,"Concept representing mental safety of individual(s), or group(s), or society at large",risk:Safety,dpv:RiskConcept,,"R,C,I",,,,,,2024-12-01,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
Wellbeing,Wellbeing,Concept representing wellbeing of individual(s),risk:HealthSafety,dpv:RiskConcept,,"R,C,I",,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
IndividualHealthSafety,Individual Health & Safety,Concept representing health & safety of individual(s),"risk:HealthSafety,risk:IndividualRisk",dpv:RiskConcept,,"R,C,I",,,,,,2022-08-17,2024-12-01,modified,,,,,,,,,,,,,,,,,,,
GroupHealthSafety,Group Health & Safety,Concept representing health & safety of a group or group(s),"risk:HealthSafety,risk:GroupRisk",dpv:RiskConcept,,"R,C,I",,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
PublicHealthSafety,Public Health & Safety,Concept representing health and safety of the public at large,risk:HealthSafety,dpv:RiskConcept,,"R,C,I",,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,

EnvironmentalRisk,Environmental Risk,Risks and issues that have their origin in environment or can affect the environment at large,risk:SocietalRiskConcept,dpv:RiskConcept,,"R,C,I",,,,,,2024-10-21,,accepted,,,,,,,,,,,,,,,,,,,
DisproportionateEnergyConsumption,Disproportionate Energy Consumption,The occurence or potential occurence of disproportionate energy consumption when considering the value obtained from undertaking the activity and the amount of energy being utilised,risk:EnvironmentalRisk,dpv:RiskConcept,,"R,C,I",,,,,,2024-10-21,,accepted,,,,,,,,,,,,,,,,,,,
Floods,Floods,The occurence or potential occurence of floods,risk:EnvironmentalRisk,dpv:RiskConcept,,"R,C,I",,,,,,2024-10-21,,accepted,,,,,,,,,,,,,,,,,,,
Earthquake,Earthquake,The occurence or potential occurence of earthquakes,risk:EnvironmentalRisk,dpv:RiskConcept,,"R,C,I",,,,,,2024-10-21,,accepted,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FinancialImpact,Financial Impact,Things that cause or have the potential to impact financial resources,risk:OrganisationalRiskConcept,dpv:RiskConcept,,"R,C,I",,,,,,2024-10-21,,accepted,,,,,,,,,,,,,,,,,,,
Benefit,Benefit,Concept representing benefits - both material and immaterial,risk:Compensation,dpv:RiskConcept,,"R,C,I",,,,"Even though benefits is filed under organisational concepts, it can be applied to individuals (humans) and groups which are societal",,2022-03-23,2024-08-16,accepted,"Harshvardhan J. Pandit, Julian Flake, Georg P. Krog, Fajar Ekaputra, Beatriz Esteves, Axel Polleres",https://www.w3.org/2022/03/23-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
Compensation,Compensation,Something that acts as or provides compensation - which can be monetary and financial or in other forms,risk:Renumeration,dpv:RiskConcept,,"R,C,I",,,,,,2024-04-14,2024-08-16,accepted,"Georg P. Krog, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
Reward,Reward,Something that acts as or provides rewards i.e. a benefit given for some service or activity that is not a payment or fee,risk:Renumeration,dpv:RiskConcept,,"R,C,I",,,,,,2024-04-14,2024-08-16,accepted,"Georg P. Krog, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
Payment,Payment,Something that acts as or provides payment e.g. to access a service or purchase resources,risk:Renumeration,dpv:RiskConcept,,"R,C,I",,,,,,2024-04-14,2024-08-16,accepted,"Georg P. Krog, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
Fee,Fee,Something that acts as or provides fees e.g. for using a service,risk:FinancialImpact,dpv:RiskConcept,,"R,C,I",,,,,DGA 2.10,2024-04-14,2024-08-16,deprecated,"Georg P. Krog, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
Renumeration,Remuneration,Something that acts as or provides renumeration which is in monetary or financial form,risk:FinancialImpact,dpv:RiskConcept,,"R,C,I",,,,,,2024-04-14,2024-08-16,accepted,"Georg P. Krog, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
FinancialLoss,Financial Loss,Concept representing Financial Loss which may be actual loss of existing financial assets or hypothetical loss of financial opportunity,risk:FinancialImpact,dpv:RiskConcept,,"R,C,I",,,,,"(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
JudicialPenalty,Judicial Penalty,Something that involves or causes judicial penalties to be paid,risk:FinancialLoss,dpv:RiskConcept,,"R,C,I",,,,,,,,accepted,,,,,,,,,,,,,,,,,,,
JudicialCosts,Judicial Costs,Something that involves or causes judicial costs to be paid,risk:FinancialLoss,dpv:RiskConcept,,"R,C,I",,,,,,,,accepted,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bias,Bias,"Bias is defined as the systematic difference in treatment of certain objects, people, or groups in comparison to others",risk:TechnicalRiskConcept,risk:RiskConcept,,"S,R,C",,,,,ISO/IEC 24027:2021,2024-09-13,,accepted,"Daniel Doherty, Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
CognitiveBias,Cognitive Bias,Bias that occurs when humans are processing and interpreting information,risk:Bias,risk:RiskConcept,,"S,R,C",,,,,ISO/IEC 24027:2021,2024-09-13,,accepted,"Daniel Doherty, Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
GroupAttributionBias,Group Attribution Bias,"Bias that occurs when a human assumes that what is true for an individual or object is also true for everyone, or all objects, in that group",risk:CognitiveBias,risk:RiskConcept,,"S,R,C",,,,,ISO/IEC 24027:2021,2024-09-13,,accepted,"Daniel Doherty, Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
ImplicitBias,Implicit Bias,Bias that occurs when a human makes an association or assumption based on their mental models and memories,risk:CognitiveBias,risk:RiskConcept,,"S,R,C",,,,,ISO/IEC 24027:2021,2024-09-13,,accepted,"Daniel Doherty, Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
