Term,Label,Definition,ParentTerm,ParentType,Value,Role,CIA,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution,,,,,,,,,,,,,,,,,
LoseCustomerConfidence,Lose of Customer Confidence,Something that acts as or causes Loss of Customer Confidence,risk:ReputationalRisk,dpv:RiskConcept,,"R,C,I",,,,,"(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
LoseGoodwill,Lose of Goodwill,Something that acts as or causes Loss of Goodwill,risk:ReputationalRisk,dpv:RiskConcept,,"R,C,I",,,,,"(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
LoseNegotiatingCapacity,Lose of Negotiating Capacity,Something that acts as or causes Loss of Negotiating Capacity,risk:ReputationalRisk,dpv:RiskConcept,,"R,C,I",,,,,"(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
LoseOpportunity,Lose of Opportunity,Something that acts as or causes Loss of Opportunity,risk:ReputationalRisk,dpv:RiskConcept,,"R,C,I",,,,,"(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
LoseReputation,Lose of Reputation,Something that acts as or causes Loss of Reputation,risk:ReputationalRisk,dpv:RiskConcept,,"R,C,I",,,,,"(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
LoseTrust,Lose of Trust,Something that acts as or causes Loss of Trust,risk:ReputationalRisk,dpv:RiskConcept,,"R,C,I",,,,,"(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SocietalRisk,Societal Risk,Risks and issues that affect or have the potential to affect society at large or specific groups in society,,dpv:RiskConcept,,"R,C,I",,,,,,,,accepted,,,,,,,,,,,,,,,,,,,
Discrimination,Discrimination,Something that acts as or causes Discrimination,risk:SocietalRisk,dpv:RiskConcept,,"R,C,I",,,,,,2022-08-19,2024-08-16,accepted,Georg P. Krog,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
ExposureToHarmfulSpeech,Exposure to Harmful Speech,Something that acts as or causes Harmful Speech,risk:SocietalRisk,dpv:RiskConcept,,"R,C,I",,,,"This concept was called ""HarmfulSpeech"" in DPV 2.0","(ENISA Reference Incident Classification Taxonomy 2018,https://www.enisa.europa.eu/publications/reference-incident-classification-taxonomy/)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
PersonalSafetyEndangerment,Personal Safety Endangerment,Something that acts as or causes Personal Safety Endangerment,risk:SocietalRisk,dpv:RiskConcept,,"R,C,I",,,,,"(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
SocialDisadvantage,Social Disadvantage,Something that acts as or causes Social Disadvantage,risk:SocietalRisk,dpv:RiskConcept,,"R,C,I",,,,,,2022-08-19,2024-08-16,accepted,Georg P. Krog,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
SocietalHealthSafety,Societal Health & Safety ,,risk:SocietalRisk,dpv:RiskConcept,,"R,C,I",,,,,,,,accepted,,,,,,,,,,,,,,,,,,,
Terrorism,Terrorism,Something that acts as or causes Terrorism,risk:SocietalRisk,dpv:RiskConcept,,"R,C,I",,,,,"(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
RightsImpact,Impact to Rights,Something that acts as or causes Impact to Rights,risk:SocietalRisk,dpv:RiskConcept,,"R,C,I",,,,"This concept was called ""ImpactToRights"" in DPV 2.0. Though specified as a plural i.e. 'rights', this concept can be applied to a singular right","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
RightsViolation,Violation of Rights,The infringement or breach of rights in a manner that constitues a 'violation' of those rights,risk:RightsImpact,dpv:RiskConcept,,"R,C,I",,,,"This concept was called ""ViolationOfRights"" in DPV 2.0. Though specified as a plural i.e. 'rights', this concept can be applied to a singular right",,2022-08-18,2024-08-16,accepted,"Georg P. Krog, Harshvardhan J. Pandit",https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
RightsExercisePrevention,Prevent Exercising of Rights,Actions or measures that prevent an individual or group from exercising their legal rights.,risk:RightsImpact,dpv:RiskConcept,,"R,C,I",,,,"This concept was called ""PreventExercisingOfRights"" in DPV 2.0. Violation of a right is a bar for actionable actions by an authority. Other impacts on right may be found to construe a violation of the right, but that is not necessarily always the case i.e. not all impacts are violations of a right. Though specified as a plural i.e. 'rights', this concept can be applied to a singular right",,2022-08-18,2024-08-16,accepted,"Georg P. Krog, Harshvardhan J. Pandit",https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
RightsLimitation,Limitation of Rights,A limitation or restrictions on the scope or exercise of rights,risk:RightsImpact,dpv:RiskConcept,,"R,C,I",,,,"This concept was called ""LimitationOfRights"" in DPV 2.0. The    limitation refers to the applicability and scope of the right, and not in the ability to exercise that right. Limitation is therefore fulfilment of the right and its obligations - but for a scope other than what was intended or expected. Though specified as a plural i.e. 'rights', this concept can be applied to a singular right",,2022-08-18,2024-08-16,accepted,"Georg P. Krog, Harshvardhan J. Pandit",https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
RightsDenial,Denial of Rights,The refusal or withholding or denial of the existence or applicability of rights,risk:RightsImpact,dpv:RiskConcept,,"R,C,I",,,,"The denial of the right refers to the argument that a right does not apply at all for a particular case. Though specified as a plural i.e. 'rights', this concept can be applied to a singular right",,,,accepted,,,,,,,,,,,,,,,,,,,
RightsUnfulfilled,Unfulfilment of Rights,Failure to meet or complete the fulfilment of rights,risk:RightsImpact,dpv:RiskConcept,,"R,C,I",,,,"Here unfulfilment refers to non-completion of the right's obligations and processes. Though specified as a plural i.e. 'rights', this concept can be applied to a singular right",,,,accepted,,,,,,,,,,,,,,,,,,,
RightObstructed,Obstruction of Rights,Interference with or blocking of the exercise of rights,risk:RightsImpact,dpv:RiskConcept,,"R,C,I",,,,"In obstruction, the right is not denied, limited, or unfulfilled - but the requirements to enable exercise of the rights are increased to the point of discouraging or obstructing the exercise of that right. Though specified as a plural i.e. 'rights', this concept can be applied to a singular right",,,,accepted,,,,,,,,,,,,,,,,,,,
RightEroded,Erosion of Rights,The gradual weakening or reduction of the scope and protection of rights,risk:RightsImpact,dpv:RiskConcept,,"R,C,I",,,,"Erosion of rights typically only applies to passive rights which always apply, since for active rights the exercise of that    right is what enables it. An active right can be eroded over time it is limited consistently and increasingly such that the scope of the right is reduced over time. Though specified as a plural i.e. 'rights', this concept can be applied to a singular right",,,,accepted,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IndividualRisk,Individual Risk,Risks and issues that affect or have the potential to affect specific individuals,,,,"R,C,I",,,,,,,,accepted,,,,,,,,,,,,,,,,,,,
Harm,Harm,Something that acts as or causes Harm to humans,risk:IndividualRisk,dpv:RiskConcept,,"R,C,I",,,,This concept refers to the general abstract notion of harm,,2022-08-13,2024-08-16,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
PhysicalHarm,Physical Harm,,risk:Harm,dpv:RiskConcept,,"R,C,I",,,,,,,,accepted,,,,,,,,,,,,,,,,,,,
Injury,Injury,Something that acts as or causes Injury,risk:Harm,dpv:RiskConcept,,"R,C,I",,,,,"(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
ViolenceAgainstChildren,Violence against children,Something that acts as or causes Child Violence,risk:Harm,dpv:RiskConcept,,"R,C,I",,,,"This concept was called ""ChildViolence"" in DPV 2.0","(ENISA Reference Incident Classification Taxonomy 2018,https://www.enisa.europa.eu/publications/reference-incident-classification-taxonomy/)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
PhysicalAssault,Physical Assault,Something that acts as or causes Physical Assault,risk:Harm,dpv:RiskConcept,,"R,C,I",,,,,"(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
PsychologicalHarm,Psychological Harm,Something that acts as or causes Psychological Harm,risk:Harm,dpv:RiskConcept,,"R,C,I",,,,,"(ENISA Reference Incident Classification Taxonomy 2018,https://www.enisa.europa.eu/publications/reference-incident-classification-taxonomy/)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
SexualViolence,Sexual Violence,Something that acts as or causes Sexual Violence,risk:Harm,dpv:RiskConcept,,"R,C,I",,,,,"(ENISA Reference Incident Classification Taxonomy 2018,https://www.enisa.europa.eu/publications/reference-incident-classification-taxonomy/)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
IndividualHealthSafety,Individual Health & Safety,,risk:IndividualRisk,dpv:RiskConcept,,"R,C,I",,,,,,,,accepted,,,,,,,,,,,,,,,,,,,
Privacy,Privacy,,risk:IndividualRisk,dpv:RiskConcept,,"R,C,I",,,,,,,,accepted,,,,,,,,,,,,,,,,,,,
Harassment,Harassment,,risk:Harm,dpv:RiskConcept,,"R,C,I",,,,,,,,accepted,,,,,,,,,,,,,,,,,,,
SexualHarassment,Sexual Harassment,,risk:Harm,dpv:RiskConcept,,"R,C,I",,,,,,,,accepted,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EnvironmentalRisk,Environmental Risk,Risks and issues that have their origin in environment or can affect the environment at large,,dpv:RiskConcept,,"R,C,I",,,,,,,,accepted,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FinancialImpact,Financial Impact,Things that cause or have the potential to impact financial resources,,dpv:RiskConcept,,"R,C,I",,,,,,,,accepted,,,,,,,,,,,,,,,,,,,
Benefit,Benefit,Something that acts as or causes benefits,risk:Compensation,dpv:RiskConcept,,"R,C,I",,,,,,2022-03-23,2024-08-16,accepted,"Harshvardhan J. Pandit, Julian Flake, Georg P. Krog, Fajar Ekaputra, Beatriz Esteves, Axel Polleres",https://www.w3.org/2022/03/23-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
Compensation,Compensation,Something that acts as or provides compensation - which can be monetary and financial or in other forms,risk:Renumeration,dpv:RiskConcept,,"R,C,I",,,,,,2024-04-14,2024-08-16,accepted,"Georg P. Krog, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
Reward,Reward,Something that acts as or provides rewards i.e. a benefit given for some service or activity that is not a payment or fee,risk:Renumeration,dpv:RiskConcept,,"R,C,I",,,,,,2024-04-14,2024-08-16,accepted,"Georg P. Krog, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
Payment,Payment,Something that acts as or provides payment e.g. to access a service or purchase resources,risk:Renumeration,dpv:RiskConcept,,"R,C,I",,,,,,2024-04-14,2024-08-16,accepted,"Georg P. Krog, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
Fee,Fee,Something that acts as or provides fees e.g. for using a service,risk:FinancialImpact,dpv:RiskConcept,,"R,C,I",,,,,DGA 2.10,2024-04-14,2024-08-16,deprecated,"Georg P. Krog, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
Renumeration,Remuneration,Something that acts as or provides renumeration which is in monetary or financial form,risk:FinancialImpact,dpv:RiskConcept,,"R,C,I",,,,,,2024-04-14,2024-08-16,accepted,"Georg P. Krog, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
FinancialLoss,Financial Loss,Something that acts as or causes Financial Loss which may be actual loss of existing financial assets or hypothetical loss of financial opportunity,risk:FinancialImpact,dpv:RiskConcept,,"R,C,I",,,,,"(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
JudicialPenalty,Judicial Penalty,Something that involves or causes judicial penalties to be paid,risk:FinancialLoss,dpv:RiskConcept,,"R,C,I",,,,,,,,accepted,,,,,,,,,,,,,,,,,,,
JudicialCosts,Judicial Costs,Something that involves or causes judicial costs to be paid,risk:FinancialLoss,dpv:RiskConcept,,"R,C,I",,,,,,,,accepted,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bias,Bias,"Bias is defined as the systematic difference in treatment of certain objects, people, or groups in comparison to others",,risk:RiskConcept,,"S,R,C",,,,,ISO/IEC 24027:2021,2024-09-13,,accepted,"Daniel Doherty, Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
CognitiveBias,Cognitive Bias,Bias that occurs when humans are processing and interpreting information,risk:Bias,risk:RiskConcept,,"S,R,C",,,,,ISO/IEC 24027:2021,2024-09-13,,accepted,"Daniel Doherty, Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
GroupAttributionBias,Group Attribution Bias,"Bias that occurs when a human assumes that what is true for an individual or object is also true for everyone, or all objects, in that group",risk:CognitiveBias,risk:RiskConcept,,"S,R,C",,,,,ISO/IEC 24027:2021,2024-09-13,,accepted,"Daniel Doherty, Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
ImplicitBias,Implicit Bias,Bias that occurs when a human makes an association or assumption based on their mental models and memories,risk:CognitiveBias,risk:RiskConcept,,"S,R,C",,,,,ISO/IEC 24027:2021,2024-09-13,,accepted,"Daniel Doherty, Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
ConfirmationBias,Confirmation Bias,"Bias that occurs when hypotheses, regardless of their veracity, are more likely to be confirmed by the intentional or unintentional interpretation of information",risk:CognitiveBias,risk:RiskConcept,,"S,R,C",,,,,ISO/IEC 24027:2021,2024-09-13,,accepted,"Daniel Doherty, Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
InGroupBias,In-Group Bias,Bias that occurs when showing partiality to one's own group or own characteristics,risk:CognitiveBias,risk:RiskConcept,,"S,R,C",,,,,ISO/IEC 24027:2021,2024-09-13,,accepted,"Daniel Doherty, Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
OutGroupHomogeneityBias,Out-Group Homogeneity Bias,"Bias that occurs when seeing out-group members as more alike than in-group members when comparing attitudes, values, personality traits, and other characteristics",risk:CognitiveBias,risk:RiskConcept,,"S,R,C",,,,,ISO/IEC 24027:2021,2024-09-13,,accepted,"Daniel Doherty, Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
SocietalBias,Societal Bias,Bias that occurs when similiar cognitive bias (conscious or unconscious) is being held by many individuals in society,risk:CognitiveBias,risk:RiskConcept,,"S,R,C",,,,,ISO/IEC 24027:2021,2024-09-13,,accepted,"Daniel Doherty, Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
RuleBasedSystemDesign,Rule-Based System Design,Bias that occurs due to developer experience and expert advice having a significant influence on rule-based system design,risk:CognitiveBias,risk:RiskConcept,,"S,R,C",,,,Rule based system design also potentially introduces various forms of human cognitive bias,ISO/IEC 24027:2021,2024-09-13,,accepted,"Daniel Doherty, Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
RequirementsBias,Requirements Bias,Bias that occurs in or during requirements creation,risk:CognitiveBias,risk:RiskConcept,,"S,R,C",,,,Requirements bias also represents occasions for the human cognitive biases to manifest,ISO/IEC 24027:2021,2024-09-13,,accepted,"Daniel Doherty, Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
DataBias,Data Bias,Bias that occurs when data properties that if unaddressed lead to systems that perform better or worse for different groups,risk:Bias,risk:RiskConcept,,"S,R,C",,,,,ISO/IEC 24027:2021,2024-09-13,,accepted,"Daniel Doherty, Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
StatisticalBias,Statistical Bias,"Bias that occurs as the type of consistent numerical offset in an estimate relative to the true underlying value, inherent to most estimates",risk:DataBias,risk:RiskConcept,,"S,R,C",,,,,ISO 20501:2019,2024-09-13,,accepted,"Daniel Doherty, Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
SelectionBias,Selection Bias,Bias that occurs when a dataset's samples are chosen in a way that is not reflective of their real-world distribution,risk:StatisticalBias,risk:RiskConcept,,"S,R,C",,,,,ISO/IEC 24027:2021,2024-09-13,,accepted,"Daniel Doherty, Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
SamplingBias,Sampling Bias,Bias that occurs when data records are not collected randomly from the intended population,risk:SelectionBias,risk:RiskConcept,,"S,R,C",,,,,ISO/IEC 24027:2021,2024-09-13,,accepted,"Daniel Doherty, Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
CoverageBias,Coverage Bias,Bias that occurs when a population represented in a dataset does not match the actual or real population that are being used,risk:SelectionBias,risk:RiskConcept,,"S,R,C",,,,,ISO/IEC 24027:2021,2024-09-13,,accepted,"Daniel Doherty, Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
NonResponseBias,Non-Response Bias,Bias that occurs when people from certain groups opt-out of surveys at different rates than users from other groups. This is also called as Participation bias,risk:SelectionBias,risk:RiskConcept,,"S,R,C",,,,,ISO/IEC 24027:2021,2024-09-13,,accepted,"Daniel Doherty, Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
ConfoundingVariablesBias,Confounding Variables Bias,Bias that occurs as a confounding variable that influences both the dependent variable and independent variable causing a spurious association,risk:StatisticalBias,risk:RiskConcept,,"S,R,C",,,,,ISO/IEC 24027:2021,2024-09-13,,accepted,"Daniel Doherty, Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
NonNormalityBias,Non-Normality Bias,"Bias that occurs when the dataset is subject to a different (i.e. non-normal) distribution (e.g., Chi-Square, Beta, Lorentz, Cauchy, Weibull or Pareto) where the results can be biased and misleading",risk:StatisticalBias,risk:RiskConcept,,"S,R,C",,,,,ISO/IEC 24027:2021,2024-09-13,,accepted,"Daniel Doherty, Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
DataProcessingBias,Data Processing Bias,"Bias that occurs due to pre-processing (or post-processing) of data, even though the original data would not have led to any bias",risk:DataBias,risk:RiskConcept,,"S,R,C",,,,,ISO/IEC 24027:2021,2024-09-13,,accepted,"Daniel Doherty, Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
SimpsonsParadoxBias,Simpson'S Paradox Bias,Bias that occurs when a trend that is indicated in individual groups of data reverses when the groups of data are combined,risk:DataBias,risk:RiskConcept,,"S,R,C",,,,,ISO/IEC 24027:2021,2024-09-13,,accepted,"Daniel Doherty, Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
DataAggregationBias,Data Aggregation Bias,Bias that occurs when aggregating data covering different groups of objects has different statistical distributions that introduce bias into the data,risk:DataBias,risk:RiskConcept,,"S,R,C",,,,,ISO/IEC 24027:2021,2024-09-13,,accepted,"Daniel Doherty, Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
InformativenessBias,Informativeness Bias,Bias that occurs when the mapping between inputs present in the data and outputs are more difficult to identify for some group,risk:EngineeringDecisionBias,risk:RiskConcept,,"S,R,C",,,,,ISO/IEC 24027:2021,2024-09-13,,accepted,"Daniel Doherty, Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discrimination,Discrimination,"Discrimination is the treatment of a person or particular group of people differently, in a way that is worse than the way people are usually treate",,risk:RiskConcept,,"R,C,I",,,,,,2024-09-30,,accepted,,,,,,,,,,,,,,,,,,,
DirectDiscrimination,Direct Discrimination,"Occurs when a person is treated less favorably than another in a comparable situation based on a protected characteristic (e.g., race, sex, disability)",risk:Discrimination,risk:RiskConcept,,"R,C,I",,,,,,2024-09-30,,accepted,,,,,,,,,,,,,,,,,,,
IndirectDiscrimination,Indirect Discrimination,"Occurs when an apparently neutral provision, criterion, or practice puts individuals of a certain group at a disadvantage compared to others, unless it can be objectively justified",risk:Discrimination,risk:RiskConcept,,"R,C,I",,,,,,2024-09-30,,accepted,,,,,,,,,,,,,,,,,,,
AgeDiscrimination,Age Discrimination,"Discrimination based on a person's age, often impacting older or younger individuals",risk:Discrimination,risk:RiskConcept,,"R,C,I",,,,,,2024-09-30,,accepted,,,,,,,,,,,,,,,,,,,
CasteDiscrimination,Caste Discrimination,"Discrimination based on a person's caste, a form of social stratification found in some cultures",risk:Discrimination,risk:RiskConcept,,"R,C,I",,,,,,2024-09-30,,accepted,,,,,,,,,,,,,,,,,,,
DisabilityDiscrimination,Disability Discrimination,Discrimination against individuals based on physical or mental disabilities,risk:Discrimination,risk:RiskConcept,,"R,C,I",,,,,,2024-09-30,,accepted,,,,,,,,,,,,,,,,,,,
ExcellenceDiscrimination,Excellence Discrimination,"Favoritism towards individuals deemed more competent or superior, often at the expense of others",risk:Discrimination,risk:RiskConcept,,"R,C,I",,,,,,2024-09-30,,accepted,,,,,,,,,,,,,,,,,,,
LanguageDiscrimination,Language Discrimination,"Discrimination based on a person's language, often linked to national origin or ethnicity",risk:Discrimination,risk:RiskConcept,,"R,C,I",,,,,,2024-09-30,,accepted,,,,,,,,,,,,,,,,,,,
NationalityDiscrimination,Nationality Discrimination,Discrimination based on a person's nationality or citizenship,risk:Discrimination,risk:RiskConcept,,"R,C,I",,,,,,2024-09-30,,accepted,,,,,,,,,,,,,,,,,,,
Racism,Racism,Prejudice or discrimination against people based on their race,risk:Discrimination,risk:RiskConcept,,"R,C,I",,,,,,2024-09-30,,accepted,,,,,,,,,,,,,,,,,,,
RacialDiscrimination,Racial Discrimination,Discrimination against individuals because of their racial background or skin color,risk:Racism,risk:RiskConcept,,"R,C,I",,,,,,2024-09-30,,accepted,,,,,,,,,,,,,,,,,,,
EthnicDiscrimination,Ethnic Discrimination,Discrimination against individuals based on their ethnicity or cultural heritage,risk:Racism,risk:RiskConcept,,"R,C,I",,,,,,2024-09-30,,accepted,,,,,,,,,,,,,,,,,,,
GeographicDiscrimination,Geographic Discrimination,Discrimination based on a person's geographical origin or residence,risk:Discrimination,risk:RiskConcept,,"R,C,I",,,,,,2024-09-30,,accepted,,,,,,,,,,,,,,,,,,,
ReligiousDiscrimination,Religious Discrimination,Discrimination based on a person's religious beliefs or practices,risk:Discrimination,risk:RiskConcept,,"R,C,I",,,,,,2024-09-30,,accepted,,,,,,,,,,,,,,,,,,,
Sexism,Sexism,"Discrimination based on a person's sex or gender, typically involving unequal treatment or stereotyping",risk:Discrimination,risk:RiskConcept,,"R,C,I",,,,,,2024-09-30,,accepted,,,,,,,,,,,,,,,,,,,
SexDiscrimination,Sex Discrimination,Discrimination based on a person's biological sex,risk:Sexism,risk:RiskConcept,,"R,C,I",,,,,,2024-09-30,,accepted,,,,,,,,,,,,,,,,,,,
GenderDiscrimination,Gender Discrimination,Discrimination based on a person's gender identity or gender expression,risk:Sexism,risk:RiskConcept,,"R,C,I",,,,,,2024-09-30,,accepted,,,,,,,,,,,,,,,,,,,
Homophobia,Homophobia,Hostility or prejudice against individuals who are or are perceived to be homosexual,risk:SexualOrientationDiscrimination,risk:RiskConcept,,"R,C,I",,,,,,2024-09-30,,accepted,,,,,,,,,,,,,,,,,,,
Misogyny,Misogyny,"Dislike, contempt, or prejudice against women",risk:Sexism,risk:RiskConcept,,"R,C,I",,,,,,2024-09-30,,accepted,,,,,,,,,,,,,,,,,,,
Misandry,Misandry,"Dislike, contempt, or prejudice against men",risk:Sexism,risk:RiskConcept,,"R,C,I",,,,,,2024-09-30,,accepted,,,,,,,,,,,,,,,,,,,
Transphobia,Transphobia,Hostility or prejudice against transgender people or those perceived as not conforming to traditional gender norms,risk:Sexism,risk:RiskConcept,,"R,C,I",,,,,,2024-09-30,,accepted,,,,,,,,,,,,,,,,,,,
SexualOrientationDiscrimination,SexualOrientation Discrimination,"Discrimination based on a person's sexual orientation, typically against those who are not heterosexual",risk:Discrimination,risk:RiskConcept,,"R,C,I",,,,,,2024-09-30,,accepted,,,,,,,,,,,,,,,,,,,
ReverseDiscrimination,Reverse Discrimination,"Discrimination against members of a majority or historically dominant group, often in the context of efforts to promote equality",risk:Discrimination,risk:RiskConcept,,"R,C,I",,,,,,2024-09-30,,accepted,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
