Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
Purpose,Purpose,Purpose or Goal of processing data or using technology,dpv:Concept,a,,spl:AnyPurpose,rdfs:seeAlso,"The purpose or goal here is intended to sufficiently describe the intention or objective of why the data or technology is being used, and should be broader than mere technical descriptions of achieving a capability. For example, ""Analyse Data"" is an abstract purpose with no indication of what the analyses is for as compared to a purpose such as ""Marketing"" or ""Service Provision"" which provide clarity and comprehension of the 'purpose' and can be enhanced with additional descriptions.","(SPECIAL Project,https://specialprivacy.ercim.eu/)",2019-04-05,2023-12-10,accepted,"Axel Polleres, Javier Fernández",https://www.w3.org/2019/04/05-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
ServiceOptimisation,Service Optimisation,Purposes associated with optimisation of services or activities,dpv:ServiceProvision,dpv:Purpose,,,,Subclass of ServiceProvision since optimisation is usually considered part of providing services,,2019-04-05,,accepted,"Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal",https://www.w3.org/2019/04/05-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
OptimisationForConsumer,Optimisation for Consumer,Purposes associated with optimisation of activities and services for consumer or user,dpv:ServiceOptimisation,dpv:Purpose,,svpu:Custom,,The term optmisation here refers to the efficiency of the service in terms of technical provision (or similar means) with benefits for everybody. Personalisation implies making changes that benefit the current user or persona.,,2019-04-05,,accepted,"Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal",https://www.w3.org/2019/04/05-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
OptimiseUserInterface,Optimise User Interface,Purposes associated with optimisation of interfaces presented to the user,dpv:OptimisationForConsumer,dpv:Purpose,,,,,,2019-04-05,,accepted,"Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal",https://www.w3.org/2019/04/05-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
OptimisationForController,Optimisation for Controller,Purposes associated with optimisation of activities and services for provider or controller,dpv:ServiceOptimisation,dpv:Purpose,,,,,,2019-04-05,,accepted,"Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal",https://www.w3.org/2019/04/05-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
ImproveExistingProductsAndServices,Improve Existing Products and Services,Purposes associated with improving existing products and services,dpv:OptimisationForController,dpv:Purpose,,,,,,2019-04-05,,accepted,"Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal",https://www.w3.org/2019/04/05-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
IncreaseServiceRobustness,Increase Service Robustness,Purposes associated with improving robustness and resilience of services,dpv:OptimisationForController,dpv:Purpose,,,,,,2019-04-05,,accepted,"Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal",https://www.w3.org/2019/04/05-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
InternalResourceOptimisation,Internal Resource Optimisation,Purposes associated with optimisation of internal resource availability and usage for organisation,dpv:OptimisationForController,dpv:Purpose,,,,,,2019-04-05,,accepted,"Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal",https://www.w3.org/2019/04/05-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
ImproveInternalCRMProcesses,Improve Internal CRM Processes,Purposes associated with improving customer-relationship management (CRM) processes,"dpv:OptimisationForController,dpv:CustomerRelationshipManagement",dpv:Purpose,,,,,,2019-04-05,,accepted,"Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal",https://www.w3.org/2019/04/05-dpvcg-minutes.html,,,,,,,,,,,,,,,,,

FulfilmentOfObligation,Fulfilment of Obligation,Purposes associated with carrying out data processing to fulfill an obligation,,dpv:Purpose,,,,,,2022-11-09,,accepted,"Georg P Krog, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
LegalCompliance,Legal Compliance,Purposes associated with carrying out data processing to fulfill a legal or statutory obligation,dpv:FulfilmentOfObligation,dpv:Purpose,,,,"This purpose only refers to processing that is additionally required in order to fulfill the obligations and requirements associated with a law. For example, the use of consent would have its own separate purposes, with this purpose addressing a legal requirement for maintaining consent record (along with RecordManagement). This purpose will typically be used with Legal Obligation as the legal basis.",,2020-11-04,2022-11-09,accepted,"Georg P Krog, Harshvardhan J. Pandit, Beatriz Esteves",https://www.w3.org/community/dpvcg/wiki/Workshop20201104,,,,,,,,,,,,,,,,,
FulfilmentOfContractualObligation,Fulfilment of Contractual Obligation,Purposes associated with carrying out data processing to fulfill a contractual obligation,dpv:FulfilmentOfObligation,dpv:Purpose,,,,,,2022-11-09,,accepted,"Georg P Krog, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
EstablishContractualAgreement,Establish Contractual Agreement,"Purposes associated with carrying out data processing to establish an agreement, such as for entering into a contract",,dpv:Purpose,,,,,,2022-11-09,,accepted,"Georg P Krog, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
,
DGA proposals,"TODO: Align with Purpose taxonomy, find relevant parent classes"
,
DataAltruism,Data Altruism,"Purposes associated with the voluntary sharing of data for the general interest of the public, such as healthcare or combating climate change",dpv:Purpose,,,,,Data Altruism as a purpose should be combined with other purposes to indicate their altruistic interpretation or application. E.g. improving healthcare and data altruism in combination.,DGA 2.16,,,proposed,,,,,,,,,,,,,,,,,,,
CombatClimateChange,Combat Climate Change,"Purposes associated with combating the causes and consequences of climate change, including reducing gas emissions and fighting emergencies such as floods or wildfires",dpv:Purpose,,,,,,DGA 2.16,,,proposed,,,,,,,,,,,,,,,,,,,
ImproveHealthcare,Improve Healthcare,Purposes associated with improving healthcare systems such as for personalised treatments and curing chronic diseases,dpv:Purpose,,,,,,DGA 2.16,,,proposed,,,,,,,,,,,,,,,,,,,
ImprovePublicServices,Improve Public Services,"Purposes associated with improving the provision of public services, such as public safety, education or law enforcement",dpv:Purpose,,,,,,DGA 2.16,,,proposed,,,,,,,,,,,,,,,,,,,
ImproveTransportMobility,Improve Transport and Mobility,"Purposes associated with improving traffic, public transport systems or costs for drivers",dpv:Purpose,,,,,,DGA 2.16,,,proposed,,,,,,,,,,,,,,,,,,,
ProvideOfficialStatistics,Provide Official Statistics,"Purposes associated with facilitating the development, production and dissemination of reliable official statistics",dpv:Purpose,,,,,,DGA 2.16,,,proposed,,,,,,,,,,,,,,,,,,,
PublicPolicyMaking,Public Policy Making,"Purposes associated with public policy making, such as the development of new laws",dpv:Purpose,,,,,,DGA 2.16,,,proposed,,,,,,,,,,,,,,,,,,,
ScientificResearch,Scientific Research,Purposes associated with scientific research,dpv:ResearchAndDevelopment,dpv:Purpose,,,,,DGA 2.16,,,proposed,,,,,,,,,,,,,,,,,,,
ProtectionOfIPR,Protection of Intellectual Property Rights,Purposes associated with the protection of intellectual property rights,dpv:Purpose,,,,,,DGA 3.1(c),,,proposed,,,,,,,,,,,,,,,,,,,
ProtectionOfNationalSecurity,Protection of National Security,Purposes associated with the protection of national security,dpv:Purpose,,,,,,DGA 1.5,,,proposed,,,,,,,,,,,,,,,,,,,
ProtectionOfPublicSecurity,Protection of Public Security,Purposes associated with the protection of public security,dpv:Purpose,,,,,,DGA 3.2(d),,,proposed,,,,,,,,,,,,,,,,,,,
CommercialPurpose,Commercial Purpose,Purposes associated with processing activities performed in a commercial setting or with intention to commercialise,dpv:Purpose,,,,,dpv:CommercialResearch / dpv:NonCommercialResearch as subtypes of CommercialPurpose / NonCommercialPurpose ?,DGA 4.4,,,proposed,,,,,,,,,,,,,,,,,,,
NonCommercialPurpose,Non-commercial Purpose,Purposes associated with processing activities performed in a non-commercial setting or without intention to commercialise,dpv:Purpose,,,,,,DGA 4.4,,,proposed,,,,,,,,,,,,,,,,,,,
EnhanceDataInteroperability,Enhance Data Interoperability,Enhance the interoperability of the data,dpv:Purpose,,,,,,DGA 12.d,,,proposed,,,,,,,,,,,,,,,,,,,
EnsureDataHarmonisationWithStandards,Ensure Data Harmonisation with Standards,Enhance harmonisation of data with standards,dpv:Purpose,,,,,,DGA 12.d,,,proposed,,,,,,,,,,,,,,,,,,,
ExchangeViewsOnDataProcessing,Exchange Views on Data Processing,Supporting inviduals and entities in exchanging views on data processing purposes and relevant information,dpv:Purpose,,,,,,DGA 2.15,,,proposed,,,,,,,,,,,,,,,,,,,
FacilitateDataExchange,Facilitate Data Exchange,Facilitate exchange of data,dpv:Purpose,,,,,,DGA 12.d,,,proposed,,,,,,,,,,,,,,,,,,,
MisusePreventionAndDetection,"Misuse, Prevention and Detection",Prevention and Detection of Misuse or Abuse of services,dpv:Purpose,,,,,,DGA 22.1(a),,,proposed,,,,,,,,,,,,,,,,,,,
NegotiateContractualAgreements,Negotiate Contractual Agreements,"Negotiate contractual agreements regarding processing of data and other matters, including terms and conditions",dpv:Purpose,,,,,,DGA 2.15,,,proposed,,,,,,,,,,,,,,,,,,,
SupportInformedConsentChoices,Support Making Choices for Informed Choices,Supporting individuals in understanding and making choices with respect to informed consent,dpv:Purpose,,,,,,DGA 2.15,,,proposed,,,,,,,,,,,,,,,,,,,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
